"","Date","Price","Open","High","Low","Vol.","Return"
"353",2022-10-02,1694.52,"1,661.30","1,729.73","1,659.10",NA,2.1
"354",2022-10-09,1641.76,"1,696.80","1,700.33","1,639.90",NA,-3.11
"355",2022-10-16,1656.66,"1,644.09","1,668.69","1,617.21",NA,0.91
"356",2022-10-23,1641.76,"1,658.19","1,675.12","1,637.39",NA,-0.9
"357",2022-10-30,1680.27,"1,643.69","1,682.17","1,616.18",NA,2.35
"358",2022-11-06,1770.69,"1,681.30","1,773.17","1,664.32",NA,5.38
"359",2022-11-13,1749.74,"1,771.42","1,786.68","1,747.04",NA,-1.18
"360",2022-11-20,1756.14,"1,750.82","1,761.58","1,728.25",NA,0.37
"361",2022-11-27,1797.82,"1,755.00","1,804.93","1,738.98",NA,2.37
"362",2022-12-04,1796.63,"1,797.92","1,810.33","1,765.32",NA,-0.07
"363",2022-12-11,1792.34,"1,797.35","1,824.87","1,772.00",NA,-0.24
"364",2022-12-18,1797.91,"1,793.13","1,824.39","1,783.48",NA,0.31
"365",2022-12-25,1824.4,"1,798.57","1,833.39","1,796.16",NA,1.47
"366",2023-01-01,1865.71,"1,823.85","1,870.37","1,823.85",NA,2.26
"367",2023-01-08,1920.21,"1,865.45","1,922.24","1,864.59",NA,2.92
"368",2023-01-15,1926.57,"1,920.39","1,937.72","1,896.56",NA,0.33
"369",2023-01-22,1927.34,"1,926.20","1,949.27","1,911.44",NA,0.04
"370",2023-01-29,1865.53,"1,928.40","1,959.77","1,861.41",NA,-3.21
"371",2023-02-05,1864.67,"1,865.17","1,890.69","1,852.69",NA,-0.05
"372",2023-02-12,1841.59,"1,865.69","1,871.03","1,818.34",NA,-1.24
"373",2023-02-19,1810.81,"1,842.73","1,847.86","1,808.91",NA,-1.67
"374",2023-02-26,1854.97,"1,812.01","1,856.47","1,804.65",NA,2.44
"375",2023-03-05,1867.83,"1,855.35","1,870.28","1,809.40",NA,0.69
"376",2023-03-12,1987.93,"1,869.01","1,989.80","1,869.01",NA,6.43
"377",2023-03-19,1977.22,"1,987.59","2,010.19","1,934.33",NA,-0.54
"378",2023-03-26,1967.9,"1,977.66","1,987.84","1,943.68",NA,-0.47
"379",2023-04-02,2008.02,"1,970.84","2,032.20","1,949.82",NA,2.04
"380",2023-04-09,2003.04,"2,008.30","2,048.84","1,981.59",NA,-0.25
"381",2023-04-16,1982.89,"2,001.85","2,015.13","1,969.28",NA,-1.01
"382",2023-04-23,1989.65,"1,981.34","2,009.51","1,973.74",NA,0.34
"383",2023-04-30,2016.54,"1,991.34","2,073.29","1,977.05",NA,1.35
"384",2023-05-07,2011.15,"2,015.95","2,048.22","2,001.05",NA,-0.27
"385",2023-05-14,1976.56,"2,011.72","2,022.20","1,951.97",NA,-1.72
"386",2023-05-21,1946.33,"1,977.80","1,985.30","1,936.84",NA,-1.53
"387",2023-05-28,1947.63,"1,944.09","1,983.52","1,932.08",NA,0.07
"388",2023-06-04,1960.6,"1,947.59","1,973.09","1,938.14",NA,0.67
"389",2023-06-11,1957.36,"1,960.25","1,970.74","1,925.30",NA,-0.17
"390",2023-06-18,1921.36,"1,957.99","1,958.93","1,910.24",NA,-1.84
"391",2023-06-25,1919.57,"1,924.30","1,933.48","1,893.01",NA,-0.09
"392",2023-07-02,1924.28,"1,919.40","1,935.17","1,902.68",NA,0.25
"393",2023-07-09,1954.93,"1,925.19","1,963.84","1,912.68",NA,1.59
"394",2023-07-16,1960.23,"1,954.90","1,987.59","1,945.82",NA,0.27
"395",2023-07-23,1959.2,"1,962.09","1,982.24","1,942.61",NA,-0.05
"396",2023-07-30,1941.62,"1,959.49","1,972.44","1,929.40",NA,-0.9
"397",2023-08-06,1913.32,"1,942.59","1,946.81","1,910.94",NA,-1.46
"398",2023-08-13,1888.19,"1,913.67","1,916.55","1,884.50",NA,-1.31
"399",2023-08-20,1914.53,"1,889.40","1,923.94","1,884.50",NA,1.39
"400",2023-08-27,1938.8,"1,916.09","1,953.44","1,912.83",NA,1.27
"401",2023-09-03,1917.81,"1,940.49","1,946.42","1,914.80",NA,-1.08
"402",2023-09-10,1923.57,"1,919.16","1,930.94","1,900.95",NA,0.3
"403",2023-09-17,1924.99,"1,924.19","1,947.80","1,913.40",NA,0.07
"404",2023-09-24,1848.31,"1,925.24","1,927.26","1,846.34",NA,-3.98
"405",2023-10-01,1832.26,"1,848.13","1,849.06","1,810.10",NA,-0.87
"406",2023-10-08,1931.7,"1,832.74","1,933.76","1,832.63",NA,5.43
"407",2023-10-15,1981.04,"1,929.30","1,997.27","1,907.65",NA,2.55
"408",2023-10-22,2005.78,"1,972.90","2,009.48","1,953.50",NA,1.25
"409",2023-10-29,1992.27,"2,004.80","2,007.82","1,969.90",NA,-0.67
"410",2023-11-05,1936.79,"1,992.30","1,993.30","1,933.18",NA,-2.78
